dataset_name,algorithm_name,cross_validation,hyper_parameters_values,accuracy,tpr,fpr,precision,auc,pr_curve,training_time,inference_time
balance-scale.csv,BoostingBasedPruning,8,"{'T': 90, 'U': 90}",0.693548387,0.693548387,0.153225806,0.693548387,0.787200832,0.7251808,7.671585083,8.543337545
balance-scale.csv,BoostingBasedPruning,9,"{'T': 90, 'U': 90}",0.790322581,0.790322581,0.10483871,0.790322581,0.917468783,0.896686722,7.495787859,8.427285379
balance-scale.csv,BoostingBasedPruning,10,"{'T': 90, 'U': 90}",0.483870968,0.483870968,0.258064516,0.483870968,0.80632154,0.7237265,7.558951378,8.682289431
bank.csv,BoostingBasedPruning,1,"{'T': 90, 'U': 50}",0.887417219,0.887417219,0.112582781,0.887417219,0.896910377,0.451841712,4.261930943,0.17911551
bank.csv,BoostingBasedPruning,2,"{'T': 90, 'U': 50}",0.913716814,0.913716814,0.086283186,0.913716814,0.918653846,0.605924839,4.37593317,0.176457705
bank.csv,BoostingBasedPruning,3,"{'T': 90, 'U': 50}",0.880530973,0.880530973,0.119469027,0.880530973,0.873581731,0.441851212,4.295282364,0.180897987
bank.csv,BoostingBasedPruning,4,"{'T': 90, 'U': 50}",0.907079646,0.907079646,0.092920354,0.907079646,0.884735577,0.619694715,4.305642605,0.177515819
bank.csv,BoostingBasedPruning,5,"{'T': 90, 'U': 50}",0.882743363,0.882743363,0.117256637,0.882743363,0.907427885,0.512776976,4.326688051,0.178608219
bank.csv,BoostingBasedPruning,6,"{'T': 90, 'U': 50}",0.904867257,0.904867257,0.095132743,0.904867257,0.909519231,0.561781959,4.262530088,0.179941148
bank.csv,BoostingBasedPruning,7,"{'T': 90, 'U': 50}",0.889380531,0.889380531,0.110619469,0.889380531,0.887548077,0.485115654,4.342302322,0.18433132
bank.csv,BoostingBasedPruning,8,"{'T': 90, 'U': 50}",0.918141593,0.918141593,0.081858407,0.918141593,0.914134615,0.601919199,4.393734217,0.181292011
bank.csv,BoostingBasedPruning,9,"{'T': 90, 'U': 50}",0.907079646,0.907079646,0.092920354,0.907079646,0.899783654,0.525550628,4.322966814,0.1804797
bank.csv,BoostingBasedPruning,10,"{'T': 90, 'U': 50}",0.902654867,0.902654867,0.097345133,0.902654867,0.878942308,0.522433819,4.290618658,0.180154248
baseball.csv,BoostingBasedPruning,1,"{'T': 130, 'U': 70}",0.947761194,0.947761194,0.026119403,0.947761194,0.993804299,0.988559685,20.530617,6.038019906
baseball.csv,BoostingBasedPruning,2,"{'T': 130, 'U': 70}",0.917910448,0.917910448,0.041044776,0.917910448,0.98351526,0.974985023,20.04585838,5.827955346
